MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
4.2065,52.0,5.6826484018264845,0.997716894977169,1101.0,2.5136986301369864,34.16,-118.11,3.203
2.1923,52.0,3.0106761565836297,0.9644128113879004,1153.0,4.103202846975089,34.04,-118.21,1.55
5.532,47.0,6.345454545454546,0.9818181818181818,753.0,2.7381818181818183,34.16,-118.01,3.185
4.1378,24.0,4.582306830907055,1.0,2819.0,3.156774916013438,33.83,-118.29,2.165
3.3958,39.0,5.0062111801242235,1.062111801242236,912.0,2.8322981366459627,37.77,-122.17,1.419
4.0294,23.0,6.105747126436782,1.1839080459770115,998.0,2.2942528735632184,33.42,-117.62,5.00001
3.9643,52.0,4.797979797979798,1.02020202020202,467.0,2.3585858585858586,37.84,-122.26,1.888
1.6435,34.0,4.289179104477612,1.080223880597015,1300.0,2.425373134328358,38.55,-121.74,1.485
4.6719,32.0,5.03781512605042,0.9621848739495799,814.0,3.4201680672268906,37.36,-121.98,2.521
1.9667,52.0,4.087628865979381,1.1134020618556701,505.0,2.6030927835051547,38.11,-122.26,0.938
3.8141,52.0,5.568,1.0346666666666666,908.0,2.421333333333333,34.08,-118.35,3.42
1.9405,36.0,4.925490196078432,1.0588235294117647,910.0,3.5686274509803924,36.86,-121.4,1.454
4.1033,28.0,4.702331961591221,1.0329218106995885,1753.0,2.404663923182442,37.27,-121.93,2.81
3.7125,28.0,6.77906976744186,1.1482558139534884,1041.0,3.0261627906976742,39.27,-121.56,1.168
5.0249,5.0,7.024615384615385,1.0369230769230768,999.0,3.0738461538461537,33.22,-117.27,1.967
7.3463,22.0,7.482439926062846,1.0388170055452866,1637.0,3.0258780036968576,33.78,-118.06,3.556
3.6036,14.0,4.577677224736048,1.0256410256410255,1597.0,2.4087481146304675,38.34,-121.96,1.435
4.233,35.0,6.125,1.0555555555555556,756.0,3.5,34.2,-118.58,2.213
3.1062,29.0,4.6183206106870225,1.0725190839694656,863.0,3.2938931297709924,36.92,-121.74,1.56
6.2838,34.0,6.948717948717949,1.0,442.0,2.2666666666666666,37.8,-122.18,3.182
3.3047,24.0,4.306709265175719,1.036741214057508,1908.0,3.047923322683706,33.74,-117.81,2.169
4.125,29.0,5.2642642642642645,1.027027027027027,1318.0,3.957957957957958,34.23,-118.54,2.414
4.625,16.0,4.984375,0.921875,149.0,2.328125,34.07,-118.6,4.333
3.0912,21.0,5.225127087872186,1.028322440087146,3927.0,2.8518518518518516,38.26,-122.05,1.263
1.5203,27.0,4.65311004784689,1.0669856459330143,859.0,2.055023923444976,34.03,-117.06,1.262
3.0978,28.0,4.937751004016064,0.9879518072289156,1230.0,2.4698795180722892,34.08,-117.68,1.372
4.2188,28.0,6.132007233273056,0.9945750452079566,1546.0,2.7956600361663653,38.66,-121.3,1.392
3.2243,20.0,4.936758893280633,1.0790513833992095,1185.0,2.341897233201581,38.65,-121.35,1.079
6.2185,15.0,6.519951632406288,1.0822249093107619,2531.0,3.060459492140266,33.88,-117.82,2.803
4.4519,26.0,5.722397476340694,0.943217665615142,963.0,3.0378548895899056,38.61,-121.29,1.105
5.6754,12.0,5.380697050938338,1.064343163538874,1033.0,2.7694369973190347,33.48,-117.64,2.759
3.0437,33.0,4.705996131528046,1.0154738878143132,1466.0,2.8355899419729207,33.92,-117.44,1.108
2.5398,47.0,5.416413373860182,1.027355623100304,1003.0,3.048632218844985,33.94,-118.29,1.057
2.2684,31.0,2.755134281200632,1.1374407582938388,2034.0,3.213270142180095,34.05,-118.3,1.938
4.4769,16.0,5.8655462184873945,1.0028011204481793,1092.0,3.0588235294117645,38.87,-121.27,1.914
2.1071,47.0,3.289473684210526,0.8588516746411483,1512.0,3.617224880382775,34.13,-118.27,2.089
3.9338,36.0,4.9125,0.83125,463.0,2.89375,37.64,-122.08,1.827
3.7198,13.0,5.692156862745098,1.0,1844.0,3.615686274509804,34.13,-117.38,1.129
7.8375,40.0,6.59375,1.0178571428571428,609.0,2.71875,34.21,-118.2,5.00001
5.5647,31.0,5.435658914728682,1.012403100775194,2296.0,3.55968992248062,37.68,-122.48,2.687
2.7634,19.0,4.715918367346939,1.0293877551020407,1711.0,1.3967346938775511,33.62,-117.72,0.869
4.875,18.0,6.028871391076115,1.0918635170603674,1086.0,2.8503937007874014,37.5,-122.47,3.346
3.227,18.0,3.83249581239531,1.016750418760469,2305.0,3.8609715242881073,34.38,-118.53,1.361
5.5,21.0,7.377005347593583,1.0935828877005347,1053.0,2.8155080213903743,38.65,-121.31,1.657
8.7783,14.0,7.867109634551495,0.9867109634551495,796.0,2.644518272425249,37.74,-121.01,4.35
1.746,19.0,4.672566371681416,1.0973451327433628,611.0,2.7035398230088497,39.36,-123.1,1.05
5.5599,26.0,6.21608040201005,1.0217755443886096,1902.0,3.185929648241206,33.73,-118.02,2.341
5.0237,52.0,5.2559241706161135,1.0355450236966826,1211.0,2.8696682464454977,34.16,-118.12,2.419
1.9224,36.0,3.902542372881356,0.847457627118644,585.0,2.4788135593220337,37.92,-122.35,0.94
5.997,19.0,5.805015673981191,1.0363636363636364,3963.0,2.484639498432602,34.22,-118.35,2.287
4.7094,14.0,5.2707296849087895,1.060530679933665,4741.0,1.9655887230514095,37.92,-122.05,2.347
3.2237,31.0,4.65792759051186,1.0649188514357053,2313.0,2.8876404494382024,33.92,-118.14,2.182
3.0667,19.0,5.357495881383855,1.0115321252059308,1971.0,3.2471169686985175,36.32,-119.79,0.758
3.9929,14.0,4.571047957371226,1.0497335701598578,3171.0,2.8161634103019537,33.73,-117.92,2.258
2.925,43.0,4.85655737704918,1.2131147540983607,933.0,3.8237704918032787,37.35,-121.89,1.708
